ParkName,Year,Month,Date,RecreationVisits,NonRecreationVisits,Total Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1979,1,1/1/1979,6011,15252,21263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1979,2,2/1/1979,5243,13776,19019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1979,3,3/1/1979,11165,15252,26417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1979,4,4/1/1979,219351,37657,257008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1979,5,5/1/1979,339416,50616,390032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1979,6,6/1/1979,543205,70776,613981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1979,7,7/1/1979,383341,41071,424412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1979,8,8/1/1979,466928,50028,516956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1979,9,9/1/1979,320138,34300,354438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1979,10,10/1/1979,300976,32246,333222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1979,11,11/1/1979,183750,19687,203437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1979,12,12/1/1979,7842,15252,23094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1980,1,1/1/1980,8966,15252,24218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1980,2,2/1/1980,8225,15252,23477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1980,3,3/1/1980,7505,15252,22757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1980,4,4/1/1980,182879,34578,217457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1980,5,5/1/1980,209301,37010,246311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1980,6,6/1/1980,359552,50842,410394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1980,7,7/1/1980,533885,68124,602009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1980,8,8/1/1980,633067,77848,710915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1980,9,9/1/1980,282636,45714,328350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1980,10,10/1/1980,332937,51152,384089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1980,11,11/1/1980,200461,37803,238264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1980,12,12/1/1980,20252,44602,64854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1981,1,1/1/1981,23330,78915,102245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1981,2,2/1/1981,16207,68606,84813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1981,3,3/1/1981,21923,92285,114208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1981,4,4/1/1981,188071,35173,223244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1981,5,5/1/1981,212500,23258,235758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1981,6,6/1/1981,366518,15252,381770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1981,7,7/1/1981,545981,15252,561233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1981,8,8/1/1981,616233,15252,631485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1981,9,9/1/1981,463823,15252,479075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1981,10,10/1/1981,313788,15252,329040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1981,11,11/1/1981,203741,15252,218993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1981,12,12/1/1981,25857,15252,41109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1982,1,1/1/1982,21425,15252,36677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1982,2,2/1/1982,22210,15252,37462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1982,3,3/1/1982,36866,15252,52118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1982,4,4/1/1982,193208,15252,208460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1982,5,5/1/1982,261452,15252,276704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1982,6,6/1/1982,404915,15252,420167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1982,7,7/1/1982,737860,15275,753135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1982,8,8/1/1982,574164,15252,589416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1982,9,9/1/1982,541721,15252,556973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1982,10,10/1/1982,446170,15252,461422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1982,11,11/1/1982,303753,15252,319005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1982,12,12/1/1982,28370,15252,43622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1983,1,1/1/1983,23771,15252,39023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1983,2,2/1/1983,24667,15252,39919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1983,3,3/1/1983,25576,15252,40828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadia NP,1983,4,4/1/1983,207347,15252,222599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
