Visitors,Time,,
97571,1/1/2016,,
103509,2/1/2016,,
126255,3/1/2016,,
171641,4/1/2016,,
341524,5/1/2016,,
459305,6/1/2016,,
563492,7/1/2016,,
813267,8/1/2016,,
409680,9/1/2016,,
114112,10/1/2016,,
117426,11/1/2016,,
72439,12/1/2016,,
79877,1/1/2015,,
102766,2/1/2015,,
110453,3/1/2015,,
163263,4/1/2015,,
280726,5/1/2015,,
550337,6/1/2015,,
568820,7/1/2015,,
702159,8/1/2015,,
391825,9/1/2015,,
139783,10/1/2015,,
104817,11/1/2015,,
68935,12/1/2015,,
80424,1/1/2014,,
77894,2/1/2014,,
106803,3/1/2014,,
163050,4/1/2014,,
282962,5/1/2014,,
396184,6/1/2014,,
585884,7/1/2014,,
860611,8/1/2014,,
394495,9/1/2014,,
146288,10/1/2014,,
75692,11/1/2014,,
73585,12/1/2014,,
77162,1/1/2013,,
81808,2/1/2013,,
119954,3/1/2013,,
124456,4/1/2013,,
274629,5/1/2013,,
388581,6/1/2013,,
460971,7/1/2013,,
855663,8/1/2013,,
373850,9/1/2013,,
134726,10/1/2013,,
89154,11/1/2013,,
104386,12/1/2013,,
65178,1/1/2012,,
79292,2/1/2012,,
96768,3/1/2012,,
114970,4/1/2012,,
287399,5/1/2012,,
261427,6/1/2012,,
527598,7/1/2012,,
639436,8/1/2012,,
417768,9/1/2012,,
165809,10/1/2012,,
83363,11/1/2012,,
85900,12/1/2012,,
81212,1/1/2011,,
68228,2/1/2011,,
105061,3/1/2011,,
128660,4/1/2011,,
282322,5/1/2011,,
316535,6/1/2011,,
514487,7/1/2011,,
724884,8/1/2011,,
380517,9/1/2011,,
194130,10/1/2011,,
91620,11/1/2011,,
78846,12/1/2011,,
95417,1/1/2010,,
87317,2/1/2010,,
114917,3/1/2010,,
160423,4/1/2010,,
224279,5/1/2010,,
283713,6/1/2010,,
515266,7/1/2010,,
648734,8/1/2010,,
329213,9/1/2010,,
172354,10/1/2010,,
147838,11/1/2010,,
65092,12/1/2010,,
108180,1/1/2009,,
108615,2/1/2009,,
130282,3/1/2009,,
131420,4/1/2009,,
296279,5/1/2009,,
390715,6/1/2009,,
511702,7/1/2009,,
714948,8/1/2009,,
408782,9/1/2009,,
218816,10/1/2009,,
143775,11/1/2009,,
112945,12/1/2009,,
85799,1/1/2008,,
88928,2/1/2008,,
121254,3/1/2008,,
127008,4/1/2008,,
253117,5/1/2008,,
454678,6/1/2008,,
469753,7/1/2008,,
634421,8/1/2008,,
358070,9/1/2008,,
234011,10/1/2008,,
157669,11/1/2008,,
96743,12/1/2008,,
94454,1/1/2007,,
105116,2/1/2007,,
110831,3/1/2007,,
125060,4/1/2007,,
308662,5/1/2007,,
291907,6/1/2007,,
405967,7/1/2007,,
731346,8/1/2007,,
387414,9/1/2007,,
200700,10/1/2007,,
142776,11/1/2007,,
84453,12/1/2007,,
91371,1/1/2006,,
94011,2/1/2006,,
99138,3/1/2006,,
134679,4/1/2006,,
228334,5/1/2006,,
291704,6/1/2006,,
426249,7/1/2006,,
663496,8/1/2006,,
334225,9/1/2006,,
193254,10/1/2006,,
111836,11/1/2006,,
80900,12/1/2006,,
87091,1/1/2005,,
96880,2/1/2005,,
118618,3/1/2005,,
115228,4/1/2005,,
313764,5/1/2005,,
439694,6/1/2005,,
452981,7/1/2005,,
806537,8/1/2005,,
348835,9/1/2005,,
161829,10/1/2005,,
104002,11/1/2005,,
97315,12/1/2005,,
113575,1/1/2004,,
109916,2/1/2004,,
107077,3/1/2004,,
137681,4/1/2004,,
223346,5/1/2004,,
344345,6/1/2004,,
399944,7/1/2004,,
940156,8/1/2004,,
341704,9/1/2004,,
167016,10/1/2004,,
99965,11/1/2004,,
88997,12/1/2004,,
117392,1/1/2003,,
105632,2/1/2003,,
123961,3/1/2003,,
183861,4/1/2003,,
226461,5/1/2003,,
394437,6/1/2003,,
522505,7/1/2003,,
805921,8/1/2003,,
388750,9/1/2003,,
152942,10/1/2003,,
87717,11/1/2003,,
115748,12/1/2003,,
98582,1/1/2002,,
