area/acres,area/square_km,coordinates/latitude,coordinates/longitude,date_established_readable,description,image/url,image/attribution,image/attribution_url,nps_link,states/0/id,states/0/title,title,id,visitors,world_heritage_site,Region
"49,057.36",198.5,44.35,-68.21,2/26/19,"Covering most of Mount Desert Island and other coastal islands, Acadia features the tallest mountain on the Atlantic coast of the United States, granite peaks, ocean shoreline, woodlands, and lakes. There are freshwater, estuary, forest, and intertidal habitats.",acadia.jpg,PixelBay/@Skeeze,https://pixabay.com/en/users/skeeze-272447/,https://www.nps.gov/acad/index.htm,state_maine,Maine,Acadia,park_acadia,"3,303,393",FALSE,Northeast Region
"8,256.67",33.4,-14.25,-170.68,10/31/88,"The southernmost National Park is on three Samoan islands and protects coral reefs, rainforests, volcanic mountains, and white beaches. The area is also home to flying foxes, brown boobies, sea turtles, and 900 species of fish.",american-samoa.jpg,NPS,https://www.nps.gov,https://www.nps.gov/npsa/index.htm,state_american-samoa,American Samoa,American Samoa,park_american-samoa,"28,892",FALSE,Pacific West Region
"76,678.98",310.3,38.68,-109.57,11/12/71,"This site features more than 2,000 natural sandstone arches, with some of the most popular arches in the park being Delicate Arch, Landscape Arch and Double Arch. Millions of years of erosion have created these structures located in a desert climate where the arid ground has life-sustaining biological soil crusts and potholes that serve as natural water-collecting basins. Other geologic formations include stone pinnacles, fins, and balancing rocks.",arches.jpg,PixelBay/@LoggaWiggler,https://pixabay.com/en/users/LoggaWiggler-15/,https://www.nps.gov/arch/index.htm,state_utah,Utah,Arches,park_arches,"1,585,718",FALSE,Intermountain Region
"242,755.94",982.4,43.75,-102.5,11/10/78,"The Badlands are a collection of buttes, pinnacles, spires, and mixed-grass prairies. The White River Badlands contain the largest assemblage of known late Eocene and Oligocene mammal fossils. The wildlife includes bison, bighorn sheep, black-footed ferrets, and prairie dogs.",badlands.jpg,PixelBay/@kasabubu,https://pixabay.com/en/users/kasabubu-1559919/,https://www.nps.gov/badl/index.htm,state_south-dakota,South Dakota,Badlands,park_badlands,"996,263",FALSE,Midwest Region
"801,163.21","3,242.20",29.25,-103.25,6/12/44,"Named for the prominent bend in the Rio Grande along the U.S.–Mexico border, this park encompasses a large and remote part of the Chihuahuan Desert. Its main attraction is backcountry recreation in the arid Chisos Mountains and in canyons along the river. A wide variety of Cretaceous and Tertiary fossils as well as cultural artifacts of Native Americans also exist within its borders.",big-bend.jpg,PixelBay/@Goodfreephotos_com,https://pixabay.com/en/users/Goodfreephotos_com-10388/,https://www.nps.gov/bibe/index.htm,state_texas,Texas,Big Bend,park_big-bend,"388,290",FALSE,Intermountain Region
"172,971.11",700,25.65,-80.08,6/28/80,"Located in Biscayne Bay, this park at the north end of the Florida Keys has four interrelated marine ecosystems: mangrove forest, the Bay, the Keys, and coral reefs. Threatened animals include the West Indian manatee, American crocodile, various sea turtles, and peregrine falcon.",biscayne.jpg,Wikipedia/@Catholic_85,https://en.wikipedia.org/wiki/User:Catholic_85,https://www.nps.gov/bisc/index.htm,state_florida,Florida,Biscayne,park_biscayne,"514,709",FALSE,Southeast Region
"30,749.75",124.4,38.57,-107.72,10/21/99,"The park protects a quarter of the Gunnison River, which slices sheer canyon walls from dark Precambrian-era rock. The canyon features some of the steepest cliffs and oldest rock in North America, and is a popular site for river rafting and rock climbing. The deep, narrow canyon is composed of gneiss and schist which appears black when in shadow.",black-canyon-of-the-gunnison.jpg,PixaBay/@mudnwaffles,https://pixabay.com/en/users/mudnwaffles-1830161/,https://www.nps.gov/blca/index.htm,state_colorado,Colorado,Black Canyon of the Gunnison,park_black-canyon-of-the-gunnison,"238,018",FALSE,Intermountain Region
"35,835.08",145,37.57,-112.18,2/25/28,"Bryce Canyon is a geological amphitheater on the Paunsaugunt Plateau with hundreds of tall, multicolored sandstone hoodoos formed by erosion. The region was originally settled by Native Americans and later by Mormon pioneers.",bryce-canyon.jpg,@kevinnayar,https://kevinnayar.github.io/,https://www.nps.gov/brca/index.htm,state_utah,Utah,Bryce Canyon,park_bryce-canyon,"2,365,110",FALSE,Intermountain Region
"337,597.83","1,366.20",38.2,-109.93,9/12/64,"This landscape was eroded into a maze of canyons, buttes, and mesas by the combined efforts of the Colorado River, Green River, and their tributaries, which divide the park into three districts. The park also contains rock pinnacles and arches, as well as artifacts from Ancient Pueblo peoples.",canyonlands.jpg,PixelBay/@12019,https://pixabay.com/en/users/12019-12019/,https://www.nps.gov/cany/index.htm,state_utah,Utah,Canyonlands,park_canyonlands,"776,218",FALSE,Intermountain Region
"241,904.26",979,38.2,-111.17,12/18/71,"The park's Waterpocket Fold is a 100-mile (160 km) monocline that exhibits the earth's diverse geologic layers. Other natural features include monoliths, cliffs, and sandstone domes shaped like the United States Capitol.",capitol-reef.jpg,PixelBay/@derwiki,https://pixabay.com/en/users/derwiki-562673/,https://www.nps.gov/care/index.htm,state_utah,Utah,Capitol Reef,park_capitol-reef,"1,064,904",FALSE,Intermountain Region
