city,state_id,state_name,latitude,longitude
Birmingham,AL,Alabama,33.5279,-86.7971
Huntsville,AL,Alabama,34.6981,-86.6412
Mobile,AL,Alabama,30.6782,-88.1162
Montgomery,AL,Alabama,32.3482,-86.2668
Tuscaloosa,AL,Alabama,33.2348,-87.5268
Hoover,AL,Alabama,33.3763,-86.8068
Auburn,AL,Alabama,32.6087,-85.4903
Florence,AL,Alabama,34.8303,-87.6655
Anniston,AL,Alabama,33.6712,-85.8135
Dothan,AL,Alabama,31.2336,-85.407
Decatur,AL,Alabama,34.5731,-86.9905
Madison,AL,Alabama,34.7114,-86.7626
Vestavia Hills,AL,Alabama,33.4518,-86.7437
Phenix City,AL,Alabama,32.4585,-85.0253
Prattville,AL,Alabama,32.4597,-86.4573
Gadsden,AL,Alabama,34.0086,-86.0157
Alabaster,AL,Alabama,33.2198,-86.8225
Opelika,AL,Alabama,32.6612,-85.3769
Northport,AL,Alabama,33.2586,-87.5993
Enterprise,AL,Alabama,31.3275,-85.8463
Daphne,AL,Alabama,30.6263,-87.8816
Homewood,AL,Alabama,33.4619,-86.809
Bessemer,AL,Alabama,33.3712,-86.9728
Athens,AL,Alabama,34.7843,-86.9503
Trussville,AL,Alabama,33.6405,-86.5815
Pelham,AL,Alabama,33.3114,-86.7573
Albertville,AL,Alabama,34.2633,-86.2108
Oxford,AL,Alabama,33.5967,-85.8687
Mountain Brook,AL,Alabama,33.4871,-86.74
Fairhope,AL,Alabama,30.5209,-87.8813
Helena,AL,Alabama,33.2837,-86.8791
Foley,AL,Alabama,30.3983,-87.665
Prichard,AL,Alabama,30.7735,-88.1301
Selma,AL,Alabama,32.4166,-87.0336
Tillmans Corner,AL,Alabama,30.5819,-88.2128
Cullman,AL,Alabama,34.1775,-86.8407
Troy,AL,Alabama,31.8021,-85.9664
Hueytown,AL,Alabama,33.4239,-87.022
Millbrook,AL,Alabama,32.5027,-86.3737
Center Point,AL,Alabama,33.6447,-86.6852
Calera,AL,Alabama,33.1254,-86.7449
Muscle Shoals,AL,Alabama,34.7432,-87.6343
Saraland,AL,Alabama,30.8479,-88.1004
Gardendale,AL,Alabama,33.6677,-86.8069
Talladega,AL,Alabama,33.4333,-86.0986
Scottsboro,AL,Alabama,34.6438,-86.0491
